10	PVP GENERIC	40130			Intelligent Targeting Core
10	PVP GENERIC	40300			Tactical First-Aid Kit 
10	PVP GENERIC	40340			Body Stimulation 
10	PVP GENERIC	40390			Tactical Medicine Pack 
10	PVP GENERIC	40470			Nanolathed Gear 
10	PVP GENERIC	40620			Xenoforged Layered Hull
10	PVP GENERIC	40750			Field Ion-Core Shells
10	PVP GENERIC	40830			Xenoforged Layered Alloys
10	PVP GENERIC	41050			Construction Nanocell 
10	PVP GENERIC	41200			Nanolathed Boots 
10	PVP GENERIC	41250			Field Ion-Core Bullets
10	PVP GENERIC	41300			Bioactive Armor 
10	PVP GENERIC	41370			Stabilized Sigma Rifles
10	PVP GENERIC	41410			Xenoforged Layered Armor
10	PVP GENERIC	41430			Shout of Dominance 
10	PVP GENERIC	41470			Xenoforged Layered Plating
10	PVP GENERIC	41500			Tactical Medi-Kit 
10	PVP GENERIC	41610			Resonating Hull 
10	PVP GENERIC	41670			Tactical Charge 
10	PVP GENERIC	41840			Bioactive Plating 
10	PVP GENERIC	42230			Cold Powercell
10	PVP GENERIC	42290			Tactical DNA Kit 
10	PVP GENERIC	42300			Stabilized Sigma Blasters
10	PVP GENERIC	42520			Proton Unit 
10	PVP GENERIC	42730			Stabilized Sigma Guns
10	PVP GENERIC	43010			Power Alternator 
10	PVP GENERIC	43040			Resonating Alloys 
10	PVP GENERIC	43100			Intelligent Targeting Device
10	PVP GENERIC	43170			Proton Cell 
10	PVP GENERIC	43260			Field Ion-Core Slugs
10	PVP GENERIC	43350			Field Raider’s Shells
10	PVP GENERIC	43400			Stabilized Sigma Phasers
10	PVP GENERIC	43490			Endurance Training 
10	PVP GENERIC	43860			Stabilized Sonic Rifles
10	PVP GENERIC	44010			Bioactive Covers 
10	PVP GENERIC	44040			Stabilized Sonic Blasters
10	PVP GENERIC	44120			Tactical Revitalizer 
10	PVP GENERIC	44300			Tactical Medical Cell 
10	PVP GENERIC	44400			Bioactive Helmets 
10	PVP GENERIC	44450			Construction Booster Pack 
10	PVP GENERIC	44470			Endurance Improvement 
10	PVP GENERIC	44570			Bioactive Gloves 
10	PVP GENERIC	44580			Stabilized Sonic Guns
10	PVP GENERIC	44620			Endurance Activation 
10	PVP GENERIC	44680			Automated Rocket Targeting
10	PVP GENERIC	44700			Stabilized Sonic Phasers
10	PVP GENERIC	44900			Power Concentrator 
10	PVP GENERIC	45000			Tactical Mending 
10	PVP GENERIC	45050			Endurance Genetics 
10	PVP GENERIC	45080			Shout of Heroism 
10	PVP GENERIC	40070			Expert Vitality Training
10	PVP GENERIC	40090			Rare Guard Gear
10	PVP GENERIC	40150			Ultimate Tactical Grenade
10	PVP GENERIC	40160			Balanced Charged Slugs
10	PVP GENERIC	40380			Balanced Ion-Core Shells
10	PVP GENERIC	40630			Complete Revitalizer “Pro”
10	PVP GENERIC	40740			Autorepair Module 
10	PVP GENERIC	40770			Complete Medical Cell “Pro”
10	PVP GENERIC	40780			Xenoforged Triple Melted Armor
10	PVP GENERIC	40790			Expert Vitality Improvement
10	PVP GENERIC	40980			Expert Vitality Activation
10	PVP GENERIC	41060			Xenoforged Triple Melted Plating
10	PVP GENERIC	41220			Balanced Ion-Core Bullets
10	PVP GENERIC	41260			Rare Guard Boots
10	PVP GENERIC	41490			Rare Pulson Cell
10	PVP GENERIC	40050			Swift Charged Shells
10	PVP GENERIC	40100			Polarized Shield Emitters
10	PVP GENERIC	40200			Xenoforged Proton Rifles
10	PVP GENERIC	40210			Intelligent Construction Nanokit
10	PVP GENERIC	40220			Swift Charged Bullets
10	PVP GENERIC	40440			Improved Injector “Pro”
10	PVP GENERIC	40530			Rare Power Core
10	PVP GENERIC	40600			Expert Endurance Activation
10	PVP GENERIC	40730			Intelligent Construction Nanobots
10	PVP GENERIC	40760			Improved Heal-Kit “Pro”
10	PVP GENERIC	40010			Proton Assisted Launch
10	PVP GENERIC	40400			Tissue Purifier
10	PVP GENERIC	40510			Muscle Electogrowth
10	PVP GENERIC	40590			Supreme Neutron Bullets
10	PVP GENERIC	40650			Osmotic Saturation
10	PVP GENERIC	40120			DNA Solution
10	PVP GENERIC	40310			Mu-wave Railgun
10	PVP GENERIC	40370			Brutal Force Ammo
10	PVP GENERIC	40060			Tribal Focus 
10	PVP GENERIC	40190			Wind of Ghostly Darkness
10	PVP GENERIC	40250			Wind of Ghostly Shadow
10	PVP GENERIC	40500			Greater Essence of Avoidance
10	PVP GENERIC	40550			Tribal Will 
10	PVP GENERIC	40640			Word of Life 
10	PVP GENERIC	40690			Word of Swift Invocation
10	PVP GENERIC	40870			Wind of Ghostly Past
10	PVP GENERIC	41210			Claw of the Eternal Bear
10	PVP GENERIC	41270			Word of Swift Sense
10	PVP GENERIC	41570			Wind of Ghostly Memories
10	PVP GENERIC	41640			Word of Youth 
10	PVP GENERIC	41710			Word of Light 
10	PVP GENERIC	41890			Tribal Desire 
10	PVP GENERIC	41930			Claw of the Eternal Brute
10	PVP GENERIC	42010			Words of Fire 
10	PVP GENERIC	42070			Word of Hope 
10	PVP GENERIC	42150			Greater Step of Elusion
10	PVP GENERIC	42220			Word of Eternity 
10	PVP GENERIC	42280			Wind of Ghostly Gloom
10	PVP GENERIC	42350			Wind of Ghostly Myst
10	PVP GENERIC	42540			Greater Step of Protection
10	PVP GENERIC	42630			Cloak of Darkness 
10	PVP GENERIC	42800			Cloak of Shadow 
10	PVP GENERIC	43070			Cloak of Past 
